Forma,NAtemp,NASatO2,Elevacion,Ancho,Velocidad,Rocas,Canto,grava,arena,Limo
Trapecio,27.33,92.04,23,16,5,20,25,30,20,0
Trapecio,27.81,100.03,31,11,0,20,45,20,15,0
Trapecio,24.27,96.82,35,14,10,30,30,20,10,0
Trapecio,27.06,64.35,9,5,2,0,0,0,50,50
Trapecio,26.6,110.39,43,11,9,10,40,10,20,20
Trapecio,23.82,106.09,23,11,5,20,60,20,0,0
Trapecio,22.92,104.97,86,11,13,0,80,20,20,0
Trapecio,27.24,82.73,26,3,11,0,30,20,25,25
Trapecio,26.53,77.81,24,3,14,5,25,35,20,15
Trapecio,23.85,100.97,53,11,4,0,70,5,20,5
Trapecio,23.84,101.41,24,11,3,0,70,20,10,0
Trapecio,21.92,95.65,619,2,14,30,30,20,20,0
Trapecio,22.78,93.89,598,3,14,20,30,20,10,20
Trapecio,26.1,101.27,583,3,14,20,30,20,10,20
Trapecio,25.82,77.78,114,2,11,0,15,30,25,15
Trapecio,26.93,84.61,46,3,14,0,5,20,40,35
Trapecio,26.08,78.53,46,3,16,0,1,40,40,19
Trapecio,26.13,101.74,158,11,4,40,50,5,5,0
Trapecio,27.33,101.61,34,11,4,0,70,15,15,0
Trapecio,15.68,80.77,1818,NA,NA,NA,NA,NA,NA,NA
Trapecio,25.96,110.9,205,11,4,0,80,10,10,0
Trapecio,28.73,107.5,38,3,13,0,40,30,20,10
Trapecio,27.91,94.3,98,3,14,25,25,15,25,10
Trapecio,29.24,100.2,49,3,15,10,60,10,10,10
Trapecio,29.11,98.75,29,3,14,5,25,30,25,15
Trapecio,27.52,96.7,99,3,14,25,40,0,10,25
Trapecio,26.6,70.86,20,3,14,15,15,5,30,35
Trapecio,28.96,107.91,82,1,11,60,0,20,20,0
Trapecio,29.57,102.19,43,2,11,0,50,50,0,0
Trapecio,28.04,108.53,17,3,2,0,33.3,33.3,33.3,0
Trapecio,30.62,122.73,149,3,3,90,10,0,0,0
Trapecio,28.76,91.06,10,1,14,15,20,40,10,15
Trapecio,28.63,96.41,28,1,14,10,70,10,0,10
Trapecio,29.35,96.81,18,1,12,10,20,50,10,10
Trapecio,29.87,98.19,85,1,14,10,20,50,10,10
Trapecio,27.32,113.66,130,2,2,0,30,0,70,0
Trapecio,27.48,104.84,51,2,10,35,50,0,15,0
Trapecio,25.59,100.15,198,1,3,90,0,0,10,0
Trapecio,30.5,86.63,13,1,3,33.3,33.3,0,0,33.3
Trapecio,27.31,75.13,53,2,3,0,0,50,50,0
Trapecio,23.72,95.63,492,2,14,50,20,10,10,10
Trapecio,23.16,96.42,428,2,14,20,40,20,10,10
Trapecio,26.67,88.13,49,3,11,0,10,30,50,10
Trapecio,25.59,94.67,67,3,12,20,40,20,10,10
Trapecio,25.66,98.25,67,1,11,10,60,20,5,5
Trapecio,26.83,76.25,100,2,9,20,35,25,15,5
Trapecio,26.3,90.15,83,1,14,50,30,10,5,5
Trapecio,26.9,85.65,63,1,12,10,60,20,5,5
Trapecio,27.15,89.74,60,3,12,10,5,5,30,50
Trapecio,26.02,93.99,25,3,11,0,70,20,5,5
Trapecio,27.18,93.44,30,3,11,0,10,40,40,10
Trapecio,24,94.52,50,2,3,0,0,0,50,50
Trapecio,23.97,94.67,36,2,3,0,0,10,20,70
Trapecio,25.92,89.17,22,3,11,0,20,60,10,10
Trapecio,25.7,85.6,11,2,12,0,0,80,20,0
Trapecio,28.17,88.76,71,3,14,5,50,20,15,10
Trapecio,26.92,87.13,15,3,12,0,10,70,10,10
Trapecio,27.7,93.87,85,3,9,5,60,20,10,5
Trapecio,30.13,84.95,21,3,11,0,10,60,20,10
Trapecio,24.38,102.07,659,2,13,10,70,20,0,0
Trapecio,25.93,108.25,615,3,14,30,30,30,10,0
Trapecio,24.31,104.89,517,3,14,50,30,10,10,0
Trapecio,25.4,107.65,422,2,14,30,40,20,10,0
Trapecio,25.82,109.81,363,3,14,30,40,20,5,5
Trapecio,26.55,107.03,117,3,14,10,70,10,10,0
Trapecio,25.44,93.92,244,2,9,25,30,25,15,5
Trapecio,30.89,103.13,15,2,11,0,0,40,40,20
Trapecio,26.67,88.36,22,3,14,10,40,30,15,5
Trapecio,19.28,96.1,1114,1,10,75,15,0,10,0
Trapecio,22.5,98.99,353,1,14,40,20,20,20,0
Trapecio,23.34,98.24,314,1,14,50,10,20,20,0
Trapecio,18.2,98.95,1630,1,14,30,25,25,0,20
Trapecio,22.62,97.35,628,1,14,30,20,20,20,10
Trapecio,24.69,99.36,137,1,14,20,60,10,10,0
Trapecio,26.25,97.75,51,2,14,30,25,25,0,20
Trapecio,25.09,98.15,27,2,8,40,30,20,10,0
U-Shape,28.09,63.61,27,12,0,0,0,15,85,0
U-Shape,29,39.55,15,12,0,0,0,10,90,0
U-Shape,24.29,87.73,16,12,0,0,0,20,80,0
U-Shape,28.13,94.16,15,5,2,0,0,0,50,50
U-Shape,24.02,95.92,6,11,2,0,0,0,50,50
U-Shape,24.19,94.77,3,11,2,0,0,0,50,50
U-Shape,24.41,97.41,10,11,2,0,0,0,50,50
U-Shape,25.6,96.95,8,11,2,0,0,0,0,100
U-Shape,24.92,103.08,86,11,4,0,65,20,10,5
U-Shape,24.79,102.53,26,11,2,0,0,0,50,50
U-Shape,27.18,87.88,9,2,11,0,0,0,0,100
U-Shape,32.18,110.47,28,5,2,0,0,80,10,10
U-Shape,30.38,44.79,27,5,1,0,0,60,20,20
U-Shape,28.97,86.18,21,3,11,0,0,0,40,60
U-Shape,27.14,75.82,13,3,2,0,0,0,20,80
U-Shape,29.07,98.27,23,3,2,0,0,0,50,50
U-Shape,30.9,93.3,23,3,2,0,0,0,0,100
U-Shape,29.04,91.26,11,3,2,0,0,0,0,100
U-Shape,29.31,56.8,27,2,3,0,0,0,0,100
U-Shape,28.78,84.2,19,2,2,0,0,0,0,100
U-Shape,25.26,51.68,43,1,2,0,0,0,0,100
U-Shape,27.4,76.85,46,2,3,0,0,10,0,90
U-Shape,27.69,60.43,44,3,12,0,0,0,0,100
U-Shape,27.77,70.8,53,2,14,0,15,5,15,65
U-Shape,28.57,60.58,42,3,2,0,0,0,0,100
U-Shape,28.21,23.43,50,3,2,0,0,0,15,85
U-Shape,26.8,38.76,42,2,2,0,0,0,5,95
U-Shape,27.36,88.39,58,3,12,0,0,0,50,50
U-Shape,24.96,102.86,43,2,3,0,0,0,100,0
U-Shape,26.39,89.33,51,2,11,0,0,50,50,0
U-Shape,31.99,61.38,15,3,2,0,0,0,50,50
U-Shape,29.82,70.69,22,2,11,0,0,0,50,50
U-Shape,29.9,77.13,13,2,11,0,5,35,30,30
V-Shape,25.72,102.6,115,5,9,0,80,10,10,0
V-Shape,22.67,99.85,491,2,14,35,20,0,35,10
V-Shape,22.78,97.7,524,3,14,40,30,20,10,0
V-Shape,25.45,94.93,98,2,14,25,30,25,15,5
V-Shape,23.32,93.07,275,11,14,20,25,25,25,5
V-Shape,17.27,91.61,1488,2,14,20,40,20,10,10
V-Shape,26.55,82.44,196,2,15,35,40,10,10,5
V-Shape,25.19,77.37,291,2,11,30,30,20,15,5
V-Shape,25.14,100.62,223,11,5,40,50,5,5,0
V-Shape,19,86.46,1346,NA,NA,NA,NA,NA,NA,NA
V-Shape,14.67,78.55,2370,2,15,25,25,35,10,5
V-Shape,25.34,105.2,17,11,4,30,40,10,10,10
V-Shape,16.58,84.2,1412,2,15,35,40,15,10,0
V-Shape,22.06,88.88,490,2,15,20,30,35,15,0
V-Shape,23.62,96.58,252,3,15,25,30,30,15,0
V-Shape,26,94.24,162,2,14,15,20,15,25,25
V-Shape,23.75,86.41,494,2,15,45,25,10,15,5
V-Shape,25.07,82.38,428,2,15,55,30,5,5,5
V-Shape,24.5,103.03,358,1,4,30,60,0,10,0
V-Shape,23.79,97.39,363,1,3,10,40,25,25,0
V-Shape,23.72,100.08,371,2,6,25,25,20,20,10
V-Shape,17.35,104.25,1420,1,5,40,40,10,10,0
V-Shape,20.2,102.14,828,1,4,40,40,10,10,0
V-Shape,21.83,102.92,952,1,14,50,20,20,10,0
V-Shape,25.95,105.5,422,2,13,30,40,20,10,0
V-Shape,26.88,92.18,144,3,15,50,30,10,5,5
V-Shape,26.01,88.2,200,3,14,15,30,30,20,5
V-Shape,24.81,91.41,327,2,13,40,30,20,8,2
V-Shape,25.58,89.52,60,3,15,30,25,10,30,5
